,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
52,MuseumModernArt,"Spring blooms courtesy of Ruth Asawa  🌺🌷🌸🌼

These lithographs are from the artists' 1965 portfolio, ""Flowers."" Still fresh! 💐 https://t.co/PL9CNa1IC1",2020-05-20 21:40:06,121,397,5357233
53,MuseumModernArt,"Wolfgang Tillmans shares music about being on your own but not alone. The photographer sings against sounds of the NYC subway. As he observes, “field recording sounds are a kind of audio photography.” Listen here: https://t.co/LbekUWlqeq

📸Wolfgang Tillmans, “Smokin’ Jo” https://t.co/Tk8WdrieIE",2020-05-20 17:11:06,8,68,5357233
54,MuseumModernArt,"Remembering the joys of getting dressed up for a night on the town 💃

Henri Toulouse-Lautrec shows the Moulin Rouge’s star performer, Louise Weber (nicknamed La Goulue, or ""the glutton""), in the famous Paris cabaret with her sister and lover. Learn more: https://t.co/LgVQMi6sDh https://t.co/K5ip6lFBMv",2020-05-19 20:03:02,52,286,5357233
55,MuseumModernArt,"We're excited to share that not 1, not 2, but 3 of our publications—MoMA PS1: A History, Among Others, and Frances Benjamin Johnston—have been selected by @aigadesign as 50 Books | 50 Covers winners for 2019! Explore the titles: https://t.co/3K6117Lydk
#AIGA5050 https://t.co/vUlMmberXV",2020-05-18 21:18:06,18,86,5357233
56,MuseumModernArt,"Amy Sillman’s new zine takes up where her exhibition “The Shape of Shape,” launching this Thursday in our #MoMAVirtualViews, left off: with an exploration of the little-known histories of shape in modern art. Read an excerpt and download the entire zine: https://t.co/wmOPAWJyGB https://t.co/RiwdjCIMKw",2020-05-18 19:47:02,17,71,5357233
57,MuseumModernArt,"Drop in to an intimate conversation with artist Wolfgang Tillmans and curator Roxana Marcoci on our Instagram Live this Wednesday, May 20 at 12pm: https://t.co/7bWg4dC0Ix https://t.co/Xugx91bkSH",2020-05-18 19:00:22,11,51,5357233
58,MuseumModernArt,"“Like many of us, I am quarantined with my entire immediate family. Despite the moments when our faces might resemble the family members in Marisol's portrait, we are a unit."" — Emily Shoyer

Our staff share artworks they look to for solace: https://t.co/9ro9NkhqR2
#MoMAPicks https://t.co/ybdVElwl7m",2020-05-18 17:31:02,35,136,5357233
59,MuseumModernArt,"Who else is spending a #lazySunday lounging around and thinking about art?The languorous pose of Modigliani's “Reclining Nude” (c. 1919) references classical depictions of Venus, yet her frank sexuality is also inspired by avant-garde provocateurs like Manet. https://t.co/BA9Rt9x5k0",2020-05-17 17:36:01,114,703,5357233
60,MuseumModernArt,Ours too! Explore Neri Oxman's big ideas for the future of architecture and design in our #MoMAVirtualViews: https://t.co/diaWzPuD8e https://t.co/JXCvFbDGN1,2020-05-16 23:00:00,3,20,5357233
61,MuseumModernArt,"Frederick Kiesler’s “Endless House Project” offered an alternative to modernism's glass facades: a biomorphic, shape-shifting design. Neri Oxman shares how his unconventional approach inspired her own interest in the architectural possibilities of nature: https://t.co/BiiTOhpUH4 https://t.co/M7EBH6rVh0",2020-05-16 22:09:01,16,80,5357233
62,MuseumModernArt,"A new era of ecological awareness is upon us! Explore Neri Oxman's quest to create tools for a better future by harnessing the genius of nature in our catalogue, Material Ecology. Get your copy: https://t.co/hoWiJ0z961

In the meantime, read an excerpt: https://t.co/X2YzNwphj5 https://t.co/lVfsu1qzH3",2020-05-16 00:19:02,13,68,5357233
